,DENOMINACION DEL PROGRAMA CEDEAR,Identificación Mercado,Código Caja de Valores,ISIN CEDEAR,ISIN Subyacente,Cusip # Subyacente,Ratio Cedear/Acción ó ADR,Montos Máximos ,Mercado de Negociación,Valor Subyacente,Frecuencia de Pago,País de Origen,Industria,Descripción de la Industria,Mercado Elegible
289,EQUINOR ASA,EQNR,8655,AR0626892837,US29446M1027,29446M102,6:1,"100,000.00",NYSE,ADR,None,NORUEGA,Energy,"Oil, Gas & Consumable Fuels",DTC
290,ARM HOLDINGS PLC,ARM,8656,AR0489277225,US0420682058,042068205,27:1,"100,000.00",NASDAQ GS,ADR,None,GRAN BRETAÑA,Technology,Software,DTC
291,ISHARES BITCOIN TRUST,IBIT,8660,AR0626566167,US46438F1012,46438F101,10:1,"13,372,000.00",NASDAQ GM,ETF,None,Estados Unidos,Funds ,Exchange Trade Fund,DTC
292,ISHARES CHINA LARGE-CAP ETF ,FXI,8661,AR0033445195,US4642871846,464287184,5:1,"3,497,000.00",NYSE Arca,ETF,Semi-Anl,Estados Unidos,ETF,Exchange Trade Fund,DTC
293,iShares Core MSCI Europe ETF,IEUR,8662,AR0405465953,US46434V7385,46434V738,11:1,"4,000,000.00",NYSE Arca,ETF,Semi-Anl,Estados Unidos,ETF,Exchange Trade Fund,DTC
294,iShares Nasdaq Biotechnology ETF,IBB,8663,AR0377480402,US4642875565,464287556,27:1,"4,000,000.00",NASDAQ GM,ETF,Quarter,Estados Unidos,ETF,Exchange Trade Fund,DTC
295,Vanguard FTSE Developed Markets ETF,VEA,8664,AR0810570678,US9219438580,921943858,10:1,"4,080,000.00",NYSE Arca,ETF,Quarter,Estados Unidos,ETF,Exchange Trade Fund,DTC
296,iShares S&P 500 Value ETF,IVE,8665,AR0864733115,US4642874089,464287408,40:1,"4,000,000.00",NYSE Arca,ETF,Quarter,Estados Unidos,ETF,Exchange Trade Fund,DTC
297,iShares S&P 500 Growth ETF,IVW,8666,AR0344353757,US4642873099,464287309,20:1,"4,030,000.00",NYSE Arca,ETF,Quarter,Estados Unidos,ETF,Exchange Trade Fund,DTC
298,The Communication Services Select Sector SPDR Fund,XLC,8667,AR0515201439,US81369Y8527,81369Y852,19:1,"3,900,000.00",NYSE Arca,ETF,Quarter,Estados Unidos,ETF,Exchange Trade Fund,DTC
299,The Consumer Discretionary Select Sector SPDR Fund,XLY,8668,AR0427103855,US81369Y4070,81369Y407,43:1,"4,010,000.00",NYSE Arca,ETF,Quarter,Estados Unidos,ETF,Exchange Trade Fund,DTC
300,The Materials Select Sector SPDR Fund,XLB,8669,AR0441163851,US81369Y1001,81369Y100,18:1,"3,900,000.00",NYSE Arca,ETF,Quarter,Estados Unidos,ETF,Exchange Trade Fund,DTC
301,The Industrial Select Sector SPDR Fund,XLI,8670,AR0595844538,US81369Y7040,81369Y704,28:1,"4,040,000.00",NYSE Arca,ETF,Quarter,Estados Unidos,ETF,Exchange Trade Fund,DTC
302,The Technology Select Sector SPDR Fund,XLK,8671,AR0824137712,US81369Y8030,81369Y803,46:1,"4,000,000.00",NYSE Arca,ETF,Quarter,Estados Unidos,ETF,Exchange Trade Fund,DTC
303,The Health Care Select Sector SPDR Fund,XLV,8672,AR0216856044,US81369Y2090,81369Y209,29:1,"4,050,000.00",NYSE Arca,ETF,Quarter,Estados Unidos,ETF,Exchange Trade Fund,DTC
304,The Consumer Staples Select Sector SPDR Fund,XLP,8673,AR0887077425,US81369Y3080,81369Y308,16:1,"4,000,000.00",NYSE Arca,ETF,Quarter,Estados Unidos,ETF,Exchange Trade Fund,DTC
305,The Real Estate Select Sector SPDR Fund,XLRE,8674,AR0068390027,US81369Y8600,81369Y860,9:1,"4,150,000.00",NYSE Arca,ETF,Quarter,Estados Unidos,ETF,Exchange Trade Fund,DTC
306,JNJ6.95,DJNJ3-XD004,8272,ARDEUT112687,478160AJ3,478160AJ3,1:1,"60,000,000.00",NYSE,Corp,None,Estados Unidos,Consumer,Pharmaceuticals,DTC
,,,,,,,,,,,,,,,
**,Programa Inhablitado para emitir.,,,,,,,,,,,,,,
***,Programa inabilitado para emitir y cancelar.,,,,,,,,,,,,,,
